customer_id,age,subscription_plan,subscription_months,monthly_fee,watch_hours_monthly,movies_watched_monthly,days_since_last_login,devices_used,avg_session_minutes,downloads_monthly,payment_method,payment_failures,customer_complaints,support_tickets,price_increase_exposed,content_satisfaction,recommendation_satisfaction,account_age_months,is_churned
NET10000,35,Standard,4,399,15.8,9,4,5,24,3,Wallet,0,0,1,No,5.9,8.0,5,0
NET10001,29,Basic,12,249,9.1,5,14,3,26,1,Net Banking,0,1,1,No,6.2,6.2,15,1
NET10002,36,Basic,3,199,23.4,15,1,2,33,3,UPI,0,0,0,No,7.7,6.2,7,0
NET10003,44,Basic,23,199,30.7,15,1,6,80,3,Wallet,0,2,3,Yes,7.0,6.5,26,0
NET10004,28,Standard,10,399,20.0,11,0,2,24,4,UPI,0,0,1,No,8.6,6.2,13,0
NET10005,28,Basic,3,199,16.1,7,34,4,67,3,Debit Card,0,1,1,Yes,8.7,4.2,3,1
NET10006,45,Standard,13,379,9.5,5,3,1,60,2,UPI,0,0,0,No,6.1,8.2,16,1
NET10007,37,Premium,40,699,7.1,4,2,2,44,7,Wallet,0,0,0,Yes,7.5,8.4,41,0
NET10008,26,Standard,1,399,9.9,6,15,2,35,3,Net Banking,0,0,0,No,7.6,8.4,6,1
NET10009,35,Premium,1,649,39.7,21,10,3,48,2,Credit Card,0,0,2,No,2.6,5.9,5,0
NET10010,26,Premium,25,669,43.5,31,12,4,37,4,Wallet,0,1,1,No,7.4,8.7,30,0
NET10011,26,Basic,1,249,13.2,6,18,2,54,2,Credit Card,1,1,1,No,8.0,4.6,1,0
NET10012,33,Premium,1,699,25.4,11,11,3,10,9,Net Banking,0,2,2,Yes,9.0,5.7,3,0
NET10013,15,Premium,5,649,24.2,12,25,1,47,7,Credit Card,0,0,0,Yes,3.8,7.6,10,1
NET10014,15,Standard,8,379,47.5,29,6,5,55,10,Wallet,0,1,1,Yes,4.9,9.8,12,0
NET10015,25,Basic,11,219,28.6,17,1,3,42,2,UPI,1,1,1,No,9.4,6.1,16,0
NET10016,21,Standard,9,379,40.0,29,1,4,37,6,Credit Card,0,1,2,No,8.8,8.0,11,0
NET10017,33,Premium+,34,899,31.0,20,5,6,34,5,UPI,0,0,0,No,5.6,8.2,36,0
NET10018,22,Premium,20,699,29.3,18,2,1,67,6,Credit Card,1,0,0,Yes,5.8,7.2,23,0
NET10019,18,Basic,57,249,13.1,7,0,2,22,7,Credit Card,0,0,3,Yes,8.0,8.6,61,0
NET10020,44,Premium,9,629,49.6,28,9,3,49,4,UPI,1,1,1,No,6.8,3.7,10,0
NET10021,28,Standard,1,399,13.3,6,2,4,73,2,UPI,0,1,1,No,8.3,3.9,4,1
NET10022,31,Standard,43,399,20.8,12,3,1,30,5,UPI,1,1,1,Yes,3.3,10.0,45,0
NET10023,18,Premium,1,699,14.4,6,5,4,88,4,UPI,0,0,0,No,5.3,8.2,6,0
NET10024,26,Standard,20,399,39.8,28,3,2,57,5,UPI,0,0,0,No,6.0,7.4,24,0
NET10025,31,Premium,1,699,19.5,13,12,5,14,5,Debit Card,0,0,0,No,7.0,8.2,4,0
NET10026,20,Premium,20,699,36.9,22,24,4,33,2,UPI,0,2,3,No,6.7,4.9,24,1
NET10027,34,Premium,38,649,3.1,1,2,5,11,4,Debit Card,0,0,0,No,5.0,4.4,43,0
NET10028,25,Basic,6,179,9.7,6,1,3,32,3,Debit Card,0,0,1,No,7.4,9.3,6,0
NET10029,28,Premium,3,649,24.4,15,1,2,15,6,UPI,1,1,1,Yes,7.0,7.0,4,0
NET10030,25,Premium+,3,899,29.0,20,6,2,71,1,Wallet,1,0,0,No,9.7,6.8,4,0
NET10031,47,Basic,9,199,30.5,15,0,3,7,2,UPI,0,0,0,Yes,4.6,7.6,10,0
NET10032,30,Standard,2,449,13.6,8,6,5,53,5,UPI,0,1,1,No,8.7,6.2,4,0
NET10033,21,Standard,15,399,7.2,4,4,3,29,3,Debit Card,0,0,0,No,4.0,5.7,17,0
NET10034,38,Premium,6,649,59.3,29,0,1,54,5,Credit Card,0,0,0,No,6.6,4.6,7,0
NET10035,20,Premium,5,629,35.0,24,3,3,53,7,UPI,0,0,0,No,4.8,7.7,9,0
NET10036,32,Basic,8,179,28.7,13,1,1,42,2,Credit Card,0,0,0,Yes,9.1,5.4,8,0
NET10037,15,Premium,10,629,6.7,4,0,3,45,6,Net Banking,0,0,1,No,5.0,10.0,12,1
NET10038,19,Basic,2,199,19.5,12,16,3,22,0,UPI,0,0,0,Yes,10.0,6.9,7,0
NET10039,32,Premium,17,699,77.2,52,0,1,63,4,Credit Card,0,1,2,Yes,9.5,9.3,20,0
NET10040,37,Standard,30,399,20.8,12,4,3,42,7,Debit Card,1,0,0,Yes,4.9,6.3,33,0
